username,email,uid,provider
Cook+Jobz,turtleneck@apple.com,928374,github
Elon,numberone@tesla.com,777384,github
J Bezos,noiamnumberone@amazon.com,111111,github
Elizabeth Theranos,smallblood@sample.com,123456,github
Evan Snap,ghost@snapchat.com,483946,github
The Zuck,zuck@facebook.com,583769,github
Billy Gates,og@microsoft.com,385728,github
Goog,search@google.com,900000,github
Dudebro,dudebro123@gmail.com,899009,github
Chad,chadbro123@gmail.com,889900,github
Brad,radbrad123@gmail.com,229900,github
Leosmor,leosmor123@gmail.com,223444,github
